step,time,min,max,mean
0,0.00000000,101052.631579,101947.368421,101482.500000
50,0.05000000,0.000000,101878.957589,81894.992956
100,0.10000000,0.000000,101841.352118,81574.789997
150,0.15000000,0.000000,101839.623093,81260.723783
200,0.20000000,0.000000,101836.369962,80952.571830
250,0.25000000,0.000000,101831.190398,80650.121893
300,0.30000000,0.000000,101823.728746,80353.171425
350,0.35000000,0.000000,101813.672240,80061.527071
400,0.40000000,0.000000,101800.747501,79775.004192
450,0.45000000,0.000000,101787.174622,79493.426414
500,0.50000000,0.000000,101786.066562,79216.625201
