step,time,min,max,mean
0,0.00000000,0.000000,500.000000,247.710246
50,0.05000000,0.000000,499.722595,247.612872
100,0.10000000,0.000000,499.445488,247.515692
150,0.15000000,0.000000,499.168679,247.418707
200,0.20000000,0.000000,498.892170,247.321915
250,0.25000000,0.000000,498.615960,247.225315
300,0.30000000,0.000000,498.340051,247.128907
350,0.35000000,0.000000,498.064444,247.032690
400,0.40000000,0.000000,497.789140,246.936664
450,0.45000000,0.000000,497.514139,246.840827
500,0.50000000,0.000000,497.239443,246.745180
