step,time,min,max,mean
0,0.00000000,0.000000,500.000000,251.184099
50,0.05000000,0.000000,499.889038,251.086724
100,0.10000000,0.000000,499.778192,250.989545
150,0.15000000,0.000000,499.667459,250.892559
200,0.20000000,0.000000,499.556838,250.795767
250,0.25000000,0.000000,499.446326,250.699167
300,0.30000000,0.000000,499.335920,250.602759
350,0.35000000,0.000000,499.225618,250.506542
400,0.40000000,0.000000,499.115418,250.410516
450,0.45000000,0.000000,499.005317,250.314679
500,0.50000000,0.000000,498.895312,250.219032
